case,activity,start_time,end_time
group.hotel.2019-10-15_04-18-01_01.mongo.csv,AllTasks,2019-10-16 02:07:56,2019-10-16 23:21:42
group.hotel.2019-10-15_04-18-01_01.mongo.csv,CategorySentimentTask,2019-10-16 02:08:18,2019-10-16 02:08:19
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MatchIncDumpTask,2019-10-16 02:08:18,2019-10-16 02:08:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MgmtResponseIncDumpTask,2019-10-16 02:08:18,2019-10-16 02:09:51
group.hotel.2019-10-15_04-18-01_01.mongo.csv,ReviewIncDumpTask,2019-10-16 02:08:18,2019-10-16 02:08:42
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IntermedIncClustersTask,2019-10-16 02:08:42,2019-10-16 02:09:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IntermedIncClustersTask,2019-10-16 02:09:51,2019-10-16 02:10:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IncClustersTask,2019-10-16 02:10:54,2019-10-16 02:11:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IncJoinTask,2019-10-16 02:11:23,2019-10-16 02:26:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IncJoinTask,2019-10-16 02:11:23,2019-10-16 02:20:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,ClusterCategorySwapColumns,2019-10-16 02:26:05,2019-10-16 02:33:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,ClusterCategoryEnrichMatchesWithSourceId,2019-10-16 02:33:49,2019-10-16 02:47:19
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MapCategoryReduceBuild,2019-10-16 02:47:19,2019-10-16 03:16:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,TransformMap,2019-10-16 03:16:15,2019-10-16 03:49:50
group.hotel.2019-10-15_04-18-01_01.mongo.csv,UpdateMongoRed,2019-10-16 03:49:50,2019-10-16 04:18:33
group.hotel.2019-10-15_04-18-01_01.mongo.csv,CreateMongoIndex,2019-10-16 04:18:33,2019-10-16 04:18:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoIndexConstructionTask,2019-10-16 04:18:37,2019-10-16 04:18:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,ClusterCategorySwapColumns,2019-10-16 04:23:26,2019-10-16 04:32:59
group.hotel.2019-10-15_04-18-01_01.mongo.csv,PreGroupTask,2019-10-16 04:23:26,2019-10-16 05:09:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,ClusterCategoryEnrichMatchesWithSourceId,2019-10-16 04:32:59,2019-10-16 05:11:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,GroupTTask,2019-10-16 05:09:18,2019-10-16 05:13:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MapCategoryReduceBuild,2019-10-16 05:11:34,2019-10-16 07:06:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,IndexFileTask,2019-10-16 05:13:18,2019-10-16 05:13:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,TransformMap,2019-10-16 07:06:30,2019-10-16 12:43:12
group.hotel.2019-10-15_04-18-01_01.mongo.csv,GroupCategoryAggregateGroups,2019-10-16 07:06:30,2019-10-16 13:40:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,UpdateMongoRed,2019-10-16 12:43:12,2019-10-16 17:39:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,TransformMap,2019-10-16 13:40:41,2019-10-16 16:09:42
group.hotel.2019-10-15_04-18-01_01.mongo.csv,UpdateMongoRed,2019-10-16 16:09:42,2019-10-16 21:57:24
group.hotel.2019-10-15_04-18-01_01.mongo.csv,CreateMongoIndex,2019-10-16 17:39:25,2019-10-16 17:39:31
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:25,2019-10-16 17:42:57
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:25,2019-10-16 17:39:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:25,2019-10-16 17:39:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:29,2019-10-16 17:39:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:32,2019-10-16 17:39:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:36,2019-10-16 17:39:39
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:36,2019-10-16 17:39:39
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:39,2019-10-16 17:39:42
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:39,2019-10-16 17:39:42
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:42,2019-10-16 17:40:27
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:42,2019-10-16 17:39:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:44,2019-10-16 17:39:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:39:48,2019-10-16 17:40:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:15,2019-10-16 17:40:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:18,2019-10-16 17:40:21
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:21,2019-10-16 17:40:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:25,2019-10-16 17:40:28
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:27,2019-10-16 17:40:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:28,2019-10-16 17:40:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:30,2019-10-16 17:40:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:31,2019-10-16 17:40:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:34,2019-10-16 17:40:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:37,2019-10-16 17:40:40
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:40,2019-10-16 17:40:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:44,2019-10-16 17:40:47
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:45,2019-10-16 17:40:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:47,2019-10-16 17:47:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:48,2019-10-16 17:40:51
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:40:51,2019-10-16 17:41:46
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:46,2019-10-16 17:41:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:49,2019-10-16 17:41:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:52,2019-10-16 17:41:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:41:55,2019-10-16 17:42:12
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:12,2019-10-16 17:42:22
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:22,2019-10-16 17:42:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:25,2019-10-16 17:42:30
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:30,2019-10-16 17:42:33
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:33,2019-10-16 17:42:36
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:36,2019-10-16 17:42:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:41,2019-10-16 17:42:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:44,2019-10-16 17:43:53
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:57,2019-10-16 17:42:59
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:42:59,2019-10-16 17:43:05
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:05,2019-10-16 17:43:35
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:35,2019-10-16 17:43:40
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:40,2019-10-16 17:43:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:45,2019-10-16 17:43:48
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:48,2019-10-16 17:43:53
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:53,2019-10-16 17:43:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:53,2019-10-16 17:43:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:55,2019-10-16 17:44:22
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:43:58,2019-10-16 17:44:00
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:00,2019-10-16 17:44:03
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:03,2019-10-16 17:44:08
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:08,2019-10-16 17:44:11
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:11,2019-10-16 17:44:15
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:15,2019-10-16 17:44:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:18,2019-10-16 17:44:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:23,2019-10-16 17:44:25
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:23,2019-10-16 17:44:31
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:25,2019-10-16 17:45:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:31,2019-10-16 17:44:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:34,2019-10-16 17:44:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:37,2019-10-16 17:44:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:41,2019-10-16 17:44:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:44:44,2019-10-16 17:45:14
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:13,2019-10-16 17:45:16
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:14,2019-10-16 17:45:17
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:16,2019-10-16 17:45:20
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:17,2019-10-16 17:45:20
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:20,2019-10-16 17:45:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:20,2019-10-16 17:45:23
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:23,2019-10-16 17:45:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:24,2019-10-16 17:45:26
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:26,2019-10-16 17:45:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:26,2019-10-16 17:45:29
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:29,2019-10-16 17:45:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:29,2019-10-16 17:45:32
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:32,2019-10-16 17:45:34
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:32,2019-10-16 17:45:35
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:34,2019-10-16 17:45:37
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:35,2019-10-16 17:52:18
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:37,2019-10-16 17:45:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:41,2019-10-16 17:45:45
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:45,2019-10-16 17:45:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:49,2019-10-16 17:45:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:45:53,2019-10-16 17:46:06
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:46:06,2019-10-16 17:46:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:46:13,2019-10-16 17:47:41
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:41,2019-10-16 17:47:44
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:44,2019-10-16 17:47:49
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:49,2019-10-16 17:47:52
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:52,2019-10-16 17:47:55
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:54,2019-10-16 17:47:57
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:55,2019-10-16 17:47:58
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:57,2019-10-16 17:47:59
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:58,2019-10-16 17:48:54
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:47:59,2019-10-16 17:48:02
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:02,2019-10-16 17:48:07
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:07,2019-10-16 17:48:10
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:10,2019-10-16 17:48:13
group.hotel.2019-10-15_04-18-01_01.mongo.csv,MongoDump,2019-10-16 17:48:13,2019-10-16 17:48:17
